temp,ts
73.40,1341565288146
73.40,1341565293929
73.40,1341565299712
73.51,1341565305496
73.51,1341565311275
73.51,1341565317058
73.51,1341565322842
73.62,1341565328625
73.51,1341565334408
73.62,1341565340192
73.62,1341565345971
73.62,1341565351754
73.62,1341565357538
73.62,1341565363321
73.62,1341565369104
73.62,1341565374887
73.62,1341565380667
73.62,1341565386450
73.62,1341565392233
73.62,1341565398017
73.62,1341565403800
73.62,1341565409579
73.51,1341565415363
73.62,1341565421146
73.51,1341565426929
73.51,1341565432712
73.51,1341565438496
73.51,1341565444275
73.40,1341565450058
73.40,1341565455842
73.40,1341565461625
73.40,1341565467408
73.40,1341565473192
73.29,1341565478971
73.29,1341565484754
73.40,1341565490537
73.29,1341565496321
73.29,1341565502104
73.29,1341565507887
73.29,1341565513667
73.29,1341565519450
73.29,1341565525233
73.18,1341565531016
73.18,1341565536800
73.18,1341565542583
73.18,1341565548362
73.18,1341565554146
73.06,1341565559929
73.18,1341565565712
73.06,1341565571496
73.06,1341565577279
73.06,1341565583058
73.06,1341565588842
73.06,1341565594625
73.06,1341565600408
72.95,1341565606191
72.95,1341565611975
72.95,1341565617754
72.95,1341565623537
72.95,1341565629321
72.95,1341565635104
72.95,1341565640887
73.06,1341565646671
73.06,1341565652450
73.06,1341565658233
73.06,1341565664017
73.06,1341565669800
73.06,1341565675583
73.18,1341565681366
73.18,1341565687146
73.18,1341565692929
73.18,1341565698712
73.18,1341565704496
73.18,1341565710279
73.18,1341565716062
73.29,1341565721841
73.29,1341565727625
73.29,1341565733408
73.29,1341565739191
73.29,1341565744975
73.40,1341565750758
73.40,1341565756537
73.40,1341565762321
73.40,1341565768104
73.40,1341565773887
73.51,1341565779671
73.51,1341565785454
73.51,1341565791233
73.51,1341565797017
73.51,1341565802800
73.51,1341565808583
73.62,1341565814366
73.62,1341565820150
73.62,1341565825929
73.62,1341565831712
73.62,1341565837496
73.62,1341565843279
73.62,1341565849062
73.62,1341565854846
